"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年9月7日","91.14","90.80","93.47","90.43","6.80M","6.04%"
"2021年9月3日","85.95","84.93","87.26","84.55","3.03M","2.65%"
"2021年9月2日","83.73","85.47","86.48","82.46","4.26M","-0.98%"
"2021年9月1日","84.56","82.52","87.49","81.75","9.11M","5.40%"
"2021年8月31日","80.23","76.27","80.24","75.11","7.37M","8.23%"
"2021年8月30日","74.13","70.20","74.62","70.00","7.34M","-1.59%"
"2021年8月27日","75.33","76.48","76.89","74.44","4.52M","-2.79%"
"2021年8月26日","77.49","77.63","79.32","76.56","4.66M","-2.68%"
"2021年8月25日","79.62","76.40","79.89","76.13","5.36M","1.54%"
"2021年8月24日","78.41","75.19","78.80","75.00","9.79M","11.82%"
"2021年8月23日","70.12","68.81","71.50","67.57","6.91M","5.38%"
"2021年8月20日","66.54","65.13","70.49","65.11","7.48M","3.44%"
"2021年8月19日","64.33","65.27","66.68","61.63","9.14M","-6.03%"
"2021年8月18日","68.46","70.35","70.35","66.51","4.17M","1.00%"
"2021年8月17日","67.78","66.50","69.58","64.15","8.00M","-2.42%"
"2021年8月16日","69.46","71.93","72.52","69.10","6.54M","-6.26%"
"2021年8月13日","74.10","78.27","78.27","73.81","6.63M","-7.31%"
"2021年8月12日","79.94","79.30","80.33","77.88","4.33M","-0.54%"
"2021年8月11日","80.37","80.61","81.08","78.22","3.70M","0.22%"
"2021年8月10日","80.19","84.70","85.01","79.81","6.80M","-2.21%"
"2021年8月9日","82.00","79.72","83.15","76.33","3.98M","4.22%"
"2021年8月6日","78.68","80.70","81.34","77.56","4.79M","-2.07%"
"2021年8月5日","80.34","80.11","81.47","78.83","5.89M","-3.10%"
"2021年8月4日","82.91","84.68","86.09","82.10","3.66M","-1.30%"
"2021年8月3日","84.00","83.40","84.82","81.20","7.14M","-7.06%"
"2021年8月2日","90.38","85.04","92.49","85.00","4.78M","5.61%"
"2021年7月30日","85.58","83.44","86.37","82.74","5.44M","-4.25%"
"2021年7月29日","89.38","93.38","93.58","88.77","5.80M","-3.44%"
"2021年7月28日","92.56","86.99","95.95","86.99","10.07M","11.88%"
"2021年7月27日","82.73","80.63","85.42","79.13","15.41M","-5.41%"
"2021年7月26日","87.46","87.79","91.27","85.98","12.30M","-8.14%"
"2021年7月23日","95.21","100.04","100.55","90.81","15.42M","-12.38%"
"2021年7月22日","108.66","112.60","112.60","107.91","6.76M","-5.99%"
"2021年7月21日","115.58","110.53","116.18","110.20","2.85M","3.27%"
"2021年7月20日","111.92","108.33","112.50","106.99","1.86M","3.17%"
"2021年7月19日","108.48","106.08","108.92","104.43","2.29M","-0.49%"
"2021年7月16日","109.01","110.93","111.50","108.17","1.58M","-1.01%"
"2021年7月15日","110.12","109.25","114.17","108.48","3.38M","1.41%"
"2021年7月14日","108.59","111.50","111.50","107.91","2.19M","-1.62%"
"2021年7月13日","110.38","110.34","112.64","108.24","4.02M","3.18%"
"2021年7月12日","106.98","107.35","108.25","104.50","2.36M","0.22%"
"2021年7月9日","106.74","105.06","107.10","102.30","8.20M","6.53%"
"2021年7月8日","100.20","100.68","101.39","97.98","5.98M","-3.64%"
"2021年7月7日","103.98","110.20","111.18","103.08","4.71M","-4.31%"
"2021年7月6日","108.66","113.00","113.35","107.90","5.95M","-9.13%"
"2021年7月2日","119.58","119.03","122.43","117.28","2.16M","-1.26%"
"2021年7月1日","121.11","122.57","124.39","118.70","2.75M","-0.60%"
"2021年6月30日","121.84","123.60","124.00","121.75","1.67M","-2.96%"
"2021年6月29日","125.56","124.34","126.90","121.93","2.77M","-1.02%"
"2021年6月28日","126.85","127.60","129.21","123.60","2.69M","1.93%"
"2021年6月25日","124.45","122.50","128.70","121.26","7.14M","2.35%"
"2021年6月24日","121.59","115.96","121.97","115.96","4.59M","6.32%"
"2021年6月23日","114.36","110.33","116.89","110.33","2.87M","3.84%"
"2021年6月22日","110.13","110.10","111.02","108.92","4.69M","-3.04%"
"2021年6月21日","113.58","117.11","117.75","111.83","3.09M","-4.05%"
"2021年6月18日","118.38","114.86","119.19","114.59","10.61M","3.49%"
"2021年6月17日","114.39","110.60","114.99","110.52","2.54M","2.64%"
"2021年6月16日","111.45","108.60","112.10","108.60","2.77M","0.31%"
"2021年6月15日","111.11","113.92","114.00","110.73","1.97M","-3.76%"
"2021年6月14日","115.45","111.70","116.79","111.70","3.61M","3.63%"
"2021年6月11日","111.41","110.62","112.12","109.91","2.71M","-0.71%"
"2021年6月10日","112.21","107.31","112.50","106.60","3.52M","4.83%"
"2021年6月9日","107.04","108.90","110.90","107.04","1.92M","-0.66%"
"2021年6月8日","107.75","105.30","108.90","105.30","2.75M","2.98%"
"2021年6月7日","104.63","106.67","107.18","103.51","2.44M","-3.95%"
"2021年6月4日","108.93","106.78","109.25","105.63","2.45M","3.51%"
"2021年6月3日","105.24","109.08","109.11","105.11","3.50M","-5.98%"
"2021年6月2日","111.93","114.25","115.90","110.18","3.64M","-1.41%"
"2021年6月1日","113.53","111.04","114.99","110.42","5.11M","5.92%"
"2021年5月28日","107.18","102.94","108.25","102.49","3.64M","3.06%"
"2021年5月27日","104.00","104.26","104.57","99.98","8.59M","0.39%"
"2021年5月26日","103.60","104.33","104.91","102.68","5.07M","1.10%"
"2021年5月25日","102.47","104.58","104.74","101.59","4.08M","1.27%"
"2021年5月24日","101.18","102.63","103.75","100.94","5.13M","-1.22%"
"2021年5月21日","102.43","103.54","103.99","101.59","3.19M","-0.36%"
"2021年5月20日","102.80","104.50","107.02","101.61","5.08M","0.33%"
"2021年5月19日","102.46","97.33","102.92","97.33","2.87M","1.39%"
"2021年5月18日","101.06","99.75","104.40","99.67","3.79M","2.87%"
"2021年5月17日","98.24","96.34","99.89","95.01","4.56M","1.41%"
"2021年5月14日","96.87","91.00","98.00","89.34","7.45M","10.72%"
"2021年5月13日","87.49","96.99","99.50","84.44","9.33M","-6.83%"
